,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
919, 5 Series,2017,23998.0,Semi-Auto,13373.0,Diesel,145.0,65.7,2.0
920, 4 Series,2019,21998.0,Semi-Auto,17417.0,Diesel,145.0,65.7,2.0
922, 2 Series,2017,16798.0,Semi-Auto,23843.0,Diesel,145.0,64.2,2.0
925, 3 Series,2019,23298.0,Semi-Auto,14320.0,Diesel,145.0,54.3,2.0
926, 5 Series,2017,24298.0,Semi-Auto,13863.0,Diesel,145.0,60.1,2.0
927, 2 Series,2018,19990.0,Semi-Auto,5600.0,Diesel,145.0,49.6,2.0
930, 5 Series,2013,12791.0,Semi-Auto,55642.0,Diesel,145.0,55.4,2.0
936, X2,2019,24500.0,Semi-Auto,10112.0,Diesel,145.0,61.4,2.0
937, X4,2019,35490.0,Semi-Auto,6250.0,Diesel,145.0,42.8,2.0
939, 3 Series,2018,17620.0,Automatic,20461.0,Diesel,145.0,60.1,2.0
940, 3 Series,2017,19991.0,Semi-Auto,27123.0,Diesel,145.0,62.8,2.0
945, 3 Series,2019,26998.0,Semi-Auto,13268.0,Diesel,145.0,48.7,2.0
946, 2 Series,2019,20498.0,Semi-Auto,6195.0,Petrol,145.0,47.9,2.0
950, 3 Series,2018,21998.0,Semi-Auto,14008.0,Diesel,145.0,62.8,2.0
958, 3 Series,2018,20140.0,Automatic,2674.0,Diesel,145.0,64.2,2.0
959, 4 Series,2018,22991.0,Semi-Auto,10990.0,Diesel,145.0,65.7,2.0
966, X3,2015,18298.0,Semi-Auto,58779.0,Diesel,145.0,54.3,2.0
967, 5 Series,2019,27698.0,Automatic,8722.0,Diesel,145.0,60.1,2.0
970, 2 Series,2019,18298.0,Semi-Auto,1230.0,Petrol,145.0,50.4,2.0
974, 3 Series,2018,21490.0,Semi-Auto,18385.0,Petrol,145.0,48.7,2.0
978, 2 Series,2017,16498.0,Semi-Auto,24354.0,Diesel,145.0,64.2,2.0
980, 2 Series,2019,24998.0,Semi-Auto,8555.0,Diesel,145.0,46.3,2.0
983, 4 Series,2018,21500.0,Semi-Auto,768.0,Diesel,145.0,65.7,2.0
986, 3 Series,2017,18998.0,Semi-Auto,30355.0,Diesel,145.0,64.2,2.0
987, 1 Series,2017,13995.0,Semi-Auto,18124.0,Diesel,145.0,70.6,2.0
992, 2 Series,2017,16498.0,Semi-Auto,27811.0,Diesel,145.0,64.2,2.0
993, 2 Series,2017,17498.0,Semi-Auto,19307.0,Diesel,145.0,64.2,2.0
994, 2 Series,2017,17498.0,Semi-Auto,21809.0,Diesel,145.0,64.2,2.0
995, 2 Series,2017,16798.0,Semi-Auto,25884.0,Diesel,145.0,64.2,2.0
996, X3,2016,20998.0,Semi-Auto,25574.0,Diesel,145.0,54.3,2.0
997, 3 Series,2018,19998.0,Semi-Auto,4807.0,Diesel,145.0,64.2,2.0
998, X3,2016,16998.0,Semi-Auto,63589.0,Diesel,145.0,54.3,2.0
1003, 2 Series,2015,14498.0,Semi-Auto,19236.0,Petrol,145.0,47.9,2.0
1004, X1,2017,18698.0,Semi-Auto,41384.0,Diesel,145.0,55.4,2.0
1007, 5 Series,2018,22498.0,Semi-Auto,31660.0,Diesel,145.0,62.8,2.0
1008, 2 Series,2017,17298.0,Semi-Auto,23752.0,Diesel,145.0,64.2,2.0
1015, X1,2016,16597.0,Automatic,47277.0,Diesel,145.0,55.4,2.0
1019, 2 Series,2018,19995.0,Automatic,12272.0,Petrol,145.0,47.9,2.0
1020, 1 Series,2013,9990.0,Manual,29000.0,Petrol,145.0,48.7,2.0
1022, X1,2017,19798.0,Semi-Auto,21700.0,Diesel,145.0,55.4,2.0
1031, 1 Series,2019,19998.0,Semi-Auto,10027.0,Petrol,145.0,47.9,2.0
1039, 3 Series,2013,9995.0,Semi-Auto,66000.0,Diesel,145.0,53.3,2.0
1045, 2 Series,2017,16498.0,Manual,29117.0,Diesel,145.0,62.8,2.0
1052, 3 Series,2019,26885.0,Semi-Auto,11751.0,Petrol,145.0,42.2,2.0
1060, 2 Series,2018,16750.0,Manual,13052.0,Diesel,145.0,64.2,2.0
1065, X1,2018,22995.0,Automatic,12848.0,Petrol,145.0,44.8,2.0
1067, 5 Series,2017,22995.0,Automatic,17117.0,Diesel,145.0,65.7,2.0
1072, 5 Series,2018,22990.0,Automatic,23891.0,Diesel,145.0,68.9,2.0
1073, 5 Series,2018,22750.0,Semi-Auto,30500.0,Diesel,145.0,68.9,2.0
1086, 3 Series,2018,21498.0,Semi-Auto,20369.0,Diesel,145.0,60.1,2.0
1095, 3 Series,2017,18495.0,Semi-Auto,29999.0,Diesel,145.0,64.2,2.0
1105, 3 Series,2019,26998.0,Semi-Auto,14572.0,Diesel,145.0,48.7,2.0
1107, X1,2017,16995.0,Semi-Auto,22000.0,Diesel,145.0,65.7,2.0
1111, X4,2018,33998.0,Semi-Auto,14777.0,Diesel,145.0,42.8,2.0
1117, X3,2015,20898.0,Semi-Auto,34104.0,Diesel,145.0,54.3,2.0
1118, 1 Series,2019,21898.0,Semi-Auto,14720.0,Diesel,145.0,67.3,2.0
1119, 5 Series,2017,22898.0,Semi-Auto,11303.0,Diesel,145.0,65.7,2.0
1131, 2 Series,2018,19491.0,Automatic,7460.0,Diesel,145.0,47.1,2.0
